Term,Definition
Account,A record of financial transactions for an individual or organization.
Accrual Accounting,"An accounting method where revenue and expenses are recorded when they are earned or incurred, not when cash is exchanged."
Amortization,The gradual reduction of a debt over time through scheduled payments of principal and interest.
Annual Percentage Rate (APR),"The annual rate charged for borrowing or earned through an investment, expressed as a percentage."
Arbitrage,The simultaneous buying and selling of an asset in different markets to profit from price differences.
Asset,Any resource with economic value owned or controlled by an individual or company.
Asset Allocation,The process of dividing investments among different asset categories to balance risk and reward.
Balance Sheet,"A financial statement that reports a company’s assets, liabilities, and shareholders’ equity at a specific point in time."
Bankruptcy,A legal proceeding involving a person or business unable to repay outstanding debts.
Basis Point,"A unit of measure equal to one hundredth of one percent, commonly used for interest rates."
Bear Market,"A market condition where prices are falling, encouraging selling."
Benchmark,A standard against which the performance of an investment or portfolio can be measured.
Beta,A measure of a stock’s volatility compared to the overall market.
Bond,A fixed income instrument representing a loan made by an investor to a borrower.
Book Value,The net value of a company's assets found on its balance sheet.
Broker,An individual or firm that acts as an intermediary between investors and securities exchanges.
Bull Market,"A market condition where prices are rising, encouraging buying."
Capital,Financial assets or resources available for use in producing goods or services.
Capital Gain,"An increase in the value of an investment, realized when the asset is sold for more than its purchase price."
Capital Market,A financial market where long-term debt or equity-backed securities are bought and sold.
Cash Flow,The net amount of cash being transferred into and out of a business.
Collateral,An asset pledged by a borrower to secure a loan.
Commercial Paper,"An unsecured, short-term debt instrument issued by a corporation."
Compound Interest,Interest calculated on the initial principal and also on the accumulated interest of previous periods.
Credit,"The ability to borrow money with the promise to repay it later, often with interest."
Credit Default Swap (CDS),A financial derivative that allows an investor to swap credit risk with another investor.
Credit Rating,An assessment of the creditworthiness of a borrower in general terms or with respect to a specific debt.
Currency,A system of money in general use in a particular country.
Current Asset,An asset expected to be converted to cash or used up within one year.
Current Liability,A company’s debts or obligations that are due within one year.
Debenture,A type of debt instrument that is not secured by physical assets or collateral.
Debt,"Money borrowed that is to be paid back, usually with interest."
Debt-to-Equity Ratio,"A measure of a company’s financial leverage, calculated by dividing its total liabilities by shareholders’ equity."
Default,"Failure to fulfill a financial obligation, such as repaying a loan."
Deflation,A decrease in the general price level of goods and services.
Derivative,A financial security whose value is derived from an underlying asset or group of assets.
Discount Rate,The interest rate charged by central banks on loans to commercial banks.
Diversification,A risk management strategy that mixes a wide variety of investments within a portfolio.
Dividend,"A payment made by a corporation to its shareholders, usually in cash or additional stock."
Duration,A measure of the sensitivity of a bond’s price to changes in interest rates.
Earnings Per Share (EPS),A company's profit divided by its outstanding shares of common stock.
EBITDA,"Earnings before interest, taxes, depreciation, and amortization."
Equity,"Ownership interest in a company, represented by shares of stock."
Exchange-Traded Fund (ETF),"An investment fund traded on stock exchanges, much like stocks."
Expense Ratio,A measure of what it costs an investment company to operate a mutual fund.
Fair Value,"An estimate of the market value of an asset, liability, or security."
Fiduciary,An individual or entity entrusted with managing assets for the benefit of another party.
Financial Statement,A written record that conveys the business activities and financial performance of a company.
Fiscal Policy,Government policy that uses taxation and spending to influence the economy.
Fixed Income,"Investments that pay fixed interest or dividend payments until maturity, such as bonds."
Foreign Exchange (Forex),The global marketplace for exchanging national currencies against one another.
Futures Contract,A standardized legal agreement to buy or sell something at a predetermined price at a specified time in the future.
GAAP,"Generally Accepted Accounting Principles, a collection of commonly followed accounting rules and standards."
GDP,"Gross Domestic Product, the total value of goods produced and services provided in a country during one year."
Hedge,An investment made to reduce the risk of adverse price movements in an asset.
Hedge Fund,An alternative investment vehicle that pools capital and employs a variety of strategies to earn returns.
Inflation,"The rate at which the general level of prices for goods and services rises, eroding purchasing power."
Initial Public Offering (IPO),The process of offering shares of a private corporation to the public for the first time.
Insider Trading,The buying or selling of a security by someone who has access to material nonpublic information about the security.
Interest Rate,"The amount a lender charges a borrower, expressed as a percentage of the principal."
Investment Grade,A rating that indicates a municipal or corporate bond has a relatively low risk of default.
Leverage,The use of borrowed capital to increase the potential return of an investment.
Liability,A company's legal financial debts or obligations incurred during business operations.
Liquidity,The ease with which an asset can be converted into cash without affecting its price.
Loan,A sum of money borrowed that is expected to be paid back with interest.
Margin,Borrowed money that is used to purchase securities.
Market Capitalization,"The total value of a company's outstanding shares of stock, calculated by multiplying share price by shares outstanding."
Market Order,An order to buy or sell a stock immediately at the best available current price.
Monetary Policy,The macroeconomic policy laid down by the central bank involving the management of money supply and interest rates.
Money Market,A segment of the financial market in which financial instruments with high liquidity and short maturities are traded.
Mortgage,"A loan used to purchase a home or property, where the property itself serves as collateral."
Mutual Fund,An investment vehicle made up of a pool of money collected from many investors to invest in securities.
Net Asset Value (NAV),"A mutual fund’s assets minus its liabilities, divided by the number of shares outstanding."
Nominal Value,"The stated value of an issued security, not including market value or interest."
Option,"A financial derivative that gives the buyer the right, but not the obligation, to buy or sell an asset at a set price before a certain date."
Over-the-Counter (OTC),Trading of financial instruments directly between two parties rather than through an exchange.
P/E Ratio,"Price-to-Earnings Ratio, a valuation measure calculated by dividing the market price per share by earnings per share."
Par Value,The face value of a bond or stock as stated by the issuer.
Portfolio,"A collection of financial investments such as stocks, bonds, and cash equivalents."
Preferred Stock,A class of ownership in a corporation that has a higher claim on assets and earnings than common stock.
Present Value (PV),"The current value of a future sum of money, given a specified rate of return."
Price-to-Book Ratio,A financial measure comparing a company's market value to its book value.
Private Equity,Capital investment made into companies that are not publicly traded.
Prospectus,A formal legal document that provides details about an investment offering.
Rate of Return,The gain or loss on an investment over a specified period.
Real Estate Investment Trust (REIT),"A company that owns, operates, or finances income-producing real estate."
Return on Equity (ROE),A measure of financial performance calculated by dividing net income by shareholders’ equity.
Risk,The possibility of losing some or all of the original investment.
Risk Premium,The return in excess of the risk-free rate of return that an investment is expected to yield.
Secondary Market,The market where previously issued securities are bought and sold.
Security,"A financial instrument that holds some type of monetary value, such as stocks or bonds."
Sovereign Debt,Debt issued by a national government.
Stock,A type of security that signifies ownership in a corporation.
Stock Exchange,A marketplace where securities are bought and sold.
Swap,A derivative contract through which two parties exchange financial instruments.
Treasury Bill (T-Bill),A short-term government security with a maturity of one year or less.
Underwriter,A financial institution that helps companies issue new securities to the public.
Valuation,The process of determining the present value of an asset or company.
Volatility,A statistical measure of the dispersion of returns for a given security or market index.
Yield,"The income return on an investment, such as interest or dividends."
Zero-Coupon Bond,"A bond that does not pay interest but is traded at a deep discount, rendering profit at maturity."
