Term,Definition
Accredited Investor,"An individual or entity allowed to invest in private markets due to meeting income, net worth, or professional criteria."
Alternative Assets,"Non-traditional investments including private equity, hedge funds, real estate, commodities, and infrastructure."
Angel Investor,"A high-net-worth individual who provides capital to early-stage companies, often in exchange for equity."
Asset Servicer,"A financial institution that manages administrative aspects of alternative investment funds, such as reporting and custody."
Bridge Financing,Temporary financing used to cover short-term expenses until longer-term funding is secured.
Buyout,"The acquisition of a controlling interest in a company, often using leverage."
Capital Call,A request made by a private equity or venture capital fund for investors to contribute committed capital.
Carried Interest,"The share of profits that fund managers earn as compensation, typically 20% of fund gains."
Club Deal,A private equity transaction where multiple firms jointly acquire a company.
Co-Investment,"An investment made alongside a private equity or venture capital fund, often with lower fees."
Commitment Period,The time frame during which investors in a private equity fund are required to provide committed capital.
Consolidation Strategy,A private equity strategy focused on rolling up smaller companies into a larger platform.
Deal Flow,The rate at which investment opportunities are presented to investors or funds.
Direct Lending,"Non-bank institutions providing loans directly to businesses, a segment of private credit."
Distressed Assets,Investments in companies or securities that are financially troubled or near bankruptcy.
Drawdown,The process by which a fund calls capital from its investors to finance investments.
Dry Powder,Capital that has been committed to a fund but not yet deployed.
Due Diligence,The comprehensive appraisal of a company or asset before an investment is made.
EBITDA Multiple,"A valuation metric comparing enterprise value to EBITDA, commonly used in private equity deals."
Exit Strategy,"The method by which an investor realizes returns, such as IPO, sale, or recapitalization."
Family Office,A private wealth management advisory firm serving ultra-high-net-worth investors.
Feeder Fund,"A fund that pools capital from investors to invest into a master fund, often in hedge fund structures."
Fund Administrator,"A third-party provider that handles accounting, valuation, and reporting for private funds."
Fund of Funds (FoF),"An investment fund that invests in other private equity, hedge, or alternative funds."
Gate Provision,A clause in hedge fund structures that limits the amount of withdrawals in a given period.
General Partner (GP),"The manager of a private equity or venture capital fund, responsible for investment decisions."
Growth Equity,Investments in established companies seeking capital to expand without ceding control.
Hurdle Rate,The minimum rate of return a fund must achieve before managers can earn carried interest.
Illiquidity Premium,The additional return investors expect for investing in less liquid private assets.
Institutional Investor,Organizations like pension funds and endowments that allocate significant capital to private markets.
Internal Rate of Return (IRR),A performance metric used to evaluate private equity and venture capital investments.
J-Curve Effect,"The typical return pattern of private equity funds, where returns are negative in early years and positive later."
Key Person Clause,A provision in fund agreements that suspends new investments if named managers leave the firm.
Leveraged Buyout (LBO),An acquisition financed primarily with borrowed funds.
Limited Partner (LP),An investor in a private fund who provides capital but has limited liability and control.
Lock-Up Period,The time during which investors cannot withdraw or redeem their capital from a fund.
Management Fee,"An annual fee paid by investors to fund managers, typically 1-2% of committed capital."
Mezzanine Financing,"A hybrid of debt and equity financing, often used in buyouts and expansions."
NAV Waterfall,A distribution model determining how profits are shared among LPs and GPs.
Operating Partner,An executive hired by private equity firms to work with portfolio companies to drive value creation.
Overcommitment Strategy,"A private equity practice where investors commit more capital than they can immediately fund, assuming staggered calls."
Pari Passu,"A term meaning equal footing, used in private credit agreements where lenders share rights equally."
Placement Agent,An intermediary that raises capital for private funds from institutional investors.
Portfolio Company,A company that has been invested in by a private equity or venture capital fund.
Preferred Return,The minimum return LPs must receive before GPs can take carried interest.
Private Credit Fund,An investment vehicle that provides non-bank loans to companies.
Private Equity Secondaries,The buying and selling of pre-existing investor commitments in private equity funds.
Private Placement Memorandum (PPM),A legal document provided to potential investors in private offerings.
Profit Sharing,The distribution of profits between LPs and GPs in a private equity fund.
Real Assets,"Physical or tangible assets such as real estate, infrastructure, or commodities."
Recapitalization,A corporate restructuring involving changes to a company’s debt and equity mix.
Restructuring Fund,A private equity fund specializing in distressed or turnaround investments.
Secondary Market for Private Equity,A market where investors buy and sell private equity fund stakes.
Seed Capital,Initial funding provided to start a new business or fund.
Side Letter,An agreement between a fund manager and an investor granting special terms.
Sovereign Wealth Fund,A state-owned investment vehicle that allocates to private markets.
Special Purpose Vehicle (SPV),"A legal entity created to isolate financial risk, often used in private deals."
Subscription Line Facility,A credit facility allowing funds to bridge capital calls by borrowing against LP commitments.
Take-Private Transaction,"The acquisition of a public company by private investors, delisting it from exchanges."
Term Sheet,A non-binding agreement outlining the terms of a potential investment.
Turnaround Investment,Capital deployed into struggling companies with potential for recovery.
Unfunded Commitment,The portion of an investor’s capital commitment not yet called by a fund.
Value Creation Plan,Strategies implemented by private equity firms to increase portfolio company value.
Venture Capital,Financing provided to startups and small businesses with high growth potential.
Vintage Year,The year in which a private equity fund makes its first investment.
Waterfall Structure,The distribution order of cash flows in a private fund between LPs and GPs.
Write-Off,An accounting action recognizing that an investment has lost all value.
Assets Under Management (AUM),The total market value of assets that an investment firm manages on behalf of clients.
Beneficiary,"A person or entity entitled to receive benefits from a trust, will, or insurance policy."
Client Onboarding,"The process of initiating a new client relationship, including due diligence and account setup."
Client Retention,Strategies used by wealth managers to maintain long-term relationships with clients.
Concentration Risk,The risk of significant losses due to exposure to a single investment or sector.
Discretionary Account,An account in which a financial advisor has the authority to make investment decisions without client approval for each trade.
Estate Planning,The process of arranging for the management and disposal of a person's estate after death.
