Term,Definition
Animal Spirits,Investor sentiment or confidence driving market behavior.
Backstop,Financial support provided to stabilize a deal or market.
Basis Trade,Arbitrage between cash securities and futures.
Blow-Off Top,Final surge in prices before a market reversal.
Chasing Yield,Taking higher risks to achieve greater returns.
Clipping Coupons,Living off bond interest income.
Flight to Quality,Moving money into safer assets during volatility.
Front-Running,Trading ahead of a known large order.
Hot Money,Capital that moves quickly across markets chasing short-term gains.
Liquidity Crunch,Shortage of available cash or funding in markets.
Big Bath,Writing off all possible losses in one period.
Cooking the Books,Manipulating financial statements.
Haircut,Discount applied to collateral or valuation.
Kitchen Sink Accounting,Throwing every possible expense into one reporting period.
Mark-to-Market,Revaluing assets at current market prices.
Off-Balance-Sheet,Assets or liabilities kept outside standard accounting statements.
Overhang,Potential negative pressure from large future stock issuance.
Sandbagging,Deliberately lowering guidance to beat later.
Talking Your Book,Promoting investments you already hold.
Window Dressing,Adjusting portfolios at quarter-end to look better in reports.
"Buy the Rumor, Sell the News","Prices rise ahead of news, then fall once confirmed."
Catch a Falling Knife,Buying into a rapidly declining stock.
Crowded Trade,A popular trade with too many investors on the same side.
Overexposed,Too much risk concentrated in one area.
Skin in the Game,Having personal capital invested.
Sleep-at-Night Portfolio,Conservative portfolio designed to minimize worry.
Stretch for Yield,Reaching into riskier assets to secure income.
Time Horizon,The length of time an investor expects to hold an asset.
Top-Heavy Portfolio,Portfolio dominated by a few large holdings.
Widow-and-Orphan Stock,"Very safe, dividend-paying stock."
Currency War,Competitive devaluation between countries.
Helicopter Money,Central bank injecting cash directly into the economy.
Moral Hazard,When protection from risk encourages reckless behavior.
Shadow Banking,Lending and credit activity outside traditional banks.
Tail Risk,"Extreme, low-probability events with outsized impact."
Too Big to Fail,Institutions so large that their collapse threatens the system.
Wall of Worry,Market climbs despite persistent concerns.
Zombie Company,A firm surviving only by rolling over debt.
Overleveraged,Holding too much debt relative to equity.
Run on the Bank,Mass withdrawals due to fear of insolvency.
